school,raw_F_count,raw_M_count,raw_?_count,cc_F_count,cc_M_count,ratio_F,cc_average_degree_F,cc_average_degree_M,cc_max_deg_F,cc_max_deg_M,cc_homophily_F,cc_homophily_M,b0_glm_F,b0_dispmod_glm_F,b0_glm_M,b0_dispmod_glm_M,cc_monophily_F,cc_monophily_M,chi_square_p_value_F,chi_square_p_value_M
comm19,239,255,1,223,226,0.49665924276169265,5.6816143497757849,5.3628318584070795,10,10,0.61878453038674031,0.52145214521452143,0.61878453038674042,0.61878453038674042,0.52145214521151562,0.52145214521151562,0.0,0.0,0.9863394834855115,0.8241226703837603
comm2,44,65,0,40,56,0.41666666666666669,4.3250000000000002,4.5,10,10,0.65317919075144515,0.57539682539682546,0.65317919075144493,0.65317919075144493,0.57539682539682546,0.58112531246519117,0.0,0.04228874428203501,0.6359682506653896,0.25915107939327153
comm20,464,454,5,440,411,0.51703877790834307,5.9931818181818182,5.7323600973236006,10,10,0.62646947288585508,0.56112054329371819,0.62646947288585475,0.62646947288585475,0.56112054329371808,0.56112054329371808,0.0,0.0,0.9792144796689234,0.9298209779260637
comm21,201,177,2,190,155,0.55072463768115942,5.4105263157894736,5.6387096774193548,10,10,0.64494163424124518,0.57665903890160186,0.64494163424124473,0.64494163424124473,0.57665903890160186,0.57703212211237898,0.0,0.0017289388209481575,0.5307119111271046,0.46473972770813177
comm22,290,330,6,264,275,0.48979591836734693,5.1515151515151514,5.2763636363636364,10,10,0.63455882352941184,0.61612680909717432,0.63455882352941129,0.63455882352941129,0.61612680909717421,0.62221417112940869,0.0,0.021878134880286018,0.7251227052426734,0.18353998089192625
comm23,309,369,1,291,324,0.47317073170731705,6.0549828178694156,5.5802469135802468,10,10,0.59250851305334851,0.54314159292035402,0.59250851305334828,0.59250851305334828,0.54314159289576891,0.54314159289576891,0.0,0.0,0.9906409680234992,0.8255001608509407
comm24,450,423,3,408,345,0.54183266932270913,4.3725490196078427,4.6434782608695651,10,10,0.62556053811659196,0.54244694132334581,0.62556053811659196,0.62556053811659196,0.5424469412727686,0.54366062492674672,0.0,0.006674353645409003,0.6144881777829937,0.39469079720823863
comm25,418,408,2,337,296,0.53238546603475512,4.1632047477744809,4.2331081081081079,10,10,0.60441910192444759,0.54110135674381488,0.60441910192444792,0.60441910192444792,0.54110135672888771,0.54110135672888771,0.0,0.0,0.9759138060472946,0.8936298861926155
comm26,299,260,4,256,216,0.5423728813559322,4.67578125,5.0231481481481479,10,10,0.64243943191311614,0.56036866359447013,0.64243943191311603,0.64243943191311603,0.56036866359447002,0.56230983672280199,0.0,0.011430862093718434,0.6802085302189319,0.34242415336811494
comm27,2,1225,2,,,,,,10,10,,,,,,,,,,
